,rank,book,author,average rating,total ratings,number of people voted,score
0,1,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,480,658",4131,408600
1,2,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,"7,999,454",3140,307689
2,3,The Kite Runner,Khaled Hosseini,4.33,"2,965,319",2744,270154
3,4,The Book Thief,Markus Zusak,4.39,"2,375,127",2711,266125
4,5,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"3,059,977",2362,229377
5,6,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,"3,160,002",2157,207617
6,7,The Help,Kathryn Stockett,4.47,"2,608,833",1758,169933
7,8,A Thousand Splendid Suns,Khaled Hosseini,4.42,"1,434,131",1723,168218
8,9,Life of Pi,Yann Martel,3.93,"1,556,148",1578,153757
9,10,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.31,"3,254,187",1601,152605
10,11,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.16,"3,038,006",1529,147015
11,12,The Time Traveler's Wife,Audrey Niffenegger,3.99,"1,738,679",1459,142037
12,13,The Fault in Our Stars,John Green,4.15,"4,783,749",1398,134194
13,14,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.90,"2,254,764",1348,129364
14,15,The Road,Cormac McCarthy,3.98,"844,602",1280,124810
15,16,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,416,184",1194,114396
16,17,Water for Elephants,Sara Gruen,4.10,"1,560,078",1175,112838
17,18,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.07,"2,961,032",1145,106862
18,19,Middlesex,Jeffrey Eugenides,4.03,"626,082",909,88005
19,20,The Lovely Bones,Alice Sebold,3.85,"2,272,252",915,86981
20,21,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,"2,708,534",917,86268
